tax_id;species;copies
1;Corynebacterium propinquum;3
2;Staphylococcus aureus;6
3;Dolosigranulum pigrum;4
4;Corynebacterium accolens;4
5;Staphylococcus epidermidis;6
6;Cutibacterium avidum;3
7;Cutibacterium acnes;3
8;Klebsiella oxytoca;8
9;Moraxella osloensis;4
10;Corynebacterium tuberculostearicum;4
11;Finegoldia magna;4
12;Anaerococcus octavius;4
13;Enterococcus faecalis;4
14;Staphylococcus capitis;6
15;Staphylococcus warnerii;6
16;Staphylococcus lugdunensis;7
17;Proteus mirabilis;7
18;Staphylococcus hominis;6
19;Bacillus cereus;14
20;Staphylococcus haemolyticus;6
21;Micrococcus luteus;2
22;Cutibacterium granolosum;2
23;Peptoniphilus harei;3
24;Corynebacterium kefirresidentii;4
25;Bacillus subtilis;10
26;Enterococcus faecalis;4
27;Escherichia coli;8
28;Limosilactobacillus fermentum;5
29;Listeria monocytogenes;6
30;Pseudomonas aeruginosa;4
31;Salmonella enterica;6
